Al-naqoura,Acre,5
Al-naqoura,Safad,37
Al-naqoura,Sakhnin,32
Sakhnin,Acre,30
Sakhnin,Safad,24
Sakhnin,Haifa,30
Sakhnin,Shafa-Amr,13
Sakhnin,Tibrias,23
Tibrias,Nazareth,25
Tibrias,Shafa-Amr,34
Tibrias,Safad,22
Shafa-Amr,Om-Alfahem,32
Shafa-Amr,Acre,22.0
Afula,Nazareth,10
Afula,Bisan,23
Afula,Janin,17
Afula,Om-Alfahem,16
Om-Alfahem,Nazareth,24
Om-Alfahem,Janin,16
Om-Alfahem,Alkhadira,23
Om-Alfahem,Bisan,33
Alkhadira,Janin,36
Alkhadira,Om-Khalid,14
Tubas,Janin,17
Tubas,Qabatia,23
Tubas,Nablus,15
Tubas,Tulkarm,42
Safad,Acre,53.24
Safad,Haifa,73.29
Acre,Haifa,24
Acre,Nazareth,40
Haifa,Nazareth,36.73
Haifa,Om-Alfahem,45
Nazareth,Bisan,36.55
Bisan,Janin,31.93
Bisan,Tubas,52
Janin,Tulkarm,67.2
Janin,Nablus,43.4
Tulkarm,Qalqilya,84.9
Tulkarm,Om-Khalid,25
Tulkarm,Nablus,28
Om-Khalid,Qalqilya,32
Om-Khalid,Al-Haram,23
Nablus,Qalqilya,32
Nablus,Salfeet,23.73
Qalqilya,Salfeet,42
Salfeet,Birzeit,26.5
Salfeet,Tal-Alrabeea,47.41
Salfeet,Jericho,36.3
Tal-Alrabeea,Yafo,9.8
Birzeit,Ramallah,11.7
Birzeit,Jericho,28.1
Yafo,Asdood,33
Yafo,Ramla,20
Ramallah,Jerusalem,21.2
Ramallah,Beit-Jala,28.1
Ramallah,Jericho,24.8
Qabatia,Nablus,35
Qabatia,Tulkarm,34
Qabatia,Janin,8.5
Al-Haram,Malbas,16
Al-Haram,Tulkarm,30
Al-Haram,Qalqilya,22
Malbas,Qalqilya,28.5
Malbas,Tal-Alrabeea,11.5
Malbas,Salfeet,36
Malbas,Lydda,20
Lydda,Salfeet,52
Lydda,Ramla,4
Lydda,Yafo,24
Lydda,Tal-Alrabeea,25
Ramla,Ramallah,39
Ramla,Asdood,37
Ramla,Beit-Shams,31
Asdood,Beit-Shams,46
Asdood,Al-Majdal,22
Beit-Shams,Beit-Jala,27
Beit-Shams,Al-Majdal,52
Beit-Shams,Al-Faluja,44
Halhul,Bethlehem,21
Halhul,Beit-Jala,22
Halhul,Hebron,6
Yatta,Hebron,17
Yatta,Dura,9
Yatta,Al-Dahriya,20
Al-Hazeel,BeerSheba,20
Al-Hazeel,Al-Dahriya,22
Al-Hazeel,Gaza,30
Al-Hazeel,Khan-Yunis,42
Al-Hazeel,Rafah,50.38
Al-Hazeel,Dura,29.07
Al-Birah,Birzeit,7
Al-Birah,Ramallah,2
Al-Birah,Jericho,24
Dura,Hebron,8
Dura,Beit-Jala,28
Dura,Yatta,10
Dura,Al-Dahriya,13
Jericho,Bethlehem,44.76
Jericho,Jerusalem,35.94
Jerusalem,Beit-Jala,9.7
Jerusalem,Bethlehem,9.6
Jerusalem,Beit-Shams,30.87
Bethlehem,Beit-Jala,2.1
Beit-Jala,Al-Faluja,30
Beit-Jala,Hebron,25
Al-Majdal,Al-Faluja,30
Al-Majdal,Gaza,25
Gaza,Al-Dahriya,40
Gaza,Dura,53.13
Gaza,Deir-Albalah,15.7
Bethlehem,Al-Faluja,30
Bethlehem,Hebron,24
Al-Faluja,Gaza,45
Al-Faluja,Dura,35.0
Deir-Albalah,BeerSheba,50.0
Deir-Albalah,Khan-Yunis,9.0
Khan-Yunis,Rafah,7.0
Hebron,Al-Dahriya,40.0
Al-Dahriya,BeerSheba,40.0
BeerSheba,Rafah,40.0
BeerSheba,Negev,55.0
Rafah,Negev,80.0
